	name	Serial_result	Serial_memory	Serial_runtime
329	pcmax-scheduling-m43-38782-385402-SAT.sanitized.cnf	0	0.15493011474609375	2999.84
330	af-synthesis_stb_50_200_0_unsat.cnf	-1	0.07355117797851562	1051.98
331	x9-12087.sat.sanitized.cnf	1	0.035533905029296875	315.66
332	x9-09014.sat.sanitized.cnf	-1	0.01163482666015625	51.08
333	x9-12092.sat.sanitized.cnf	1	0.03168487548828125	226.15
334	1-TC-256-K-68.sanitized.cnf	-1	0.05327606201171875	260.59
335	x9-08075.sat.sanitized.cnf	-1	0.007785797119140625	25.16
336	64_25.sanitized.cnf	1	1.3110618591308594	34.42
337	1-ET-256-K-70.sanitized.cnf	-1	0.047088623046875	139.81
338	x9-10076.sat.sanitized.cnf	-1	0.02843475341796875	135.7
339	1-TC-256-K-64.sanitized.cnf	-1	0.042667388916015625	1255.69
340	sted5_0x24204-50.cnf	1	0.0119171142578125	6.0
341	simon-r20-0.sanitized.cnf	1	0.003082275390625	0.01
342	constraints_18_0.4_2.sanitized.cnf	-1	0.21581268310546875	675.9
343	g2-ak128boothbg2msaig.cnf	1	0.1060638427734375	0.73
344	hwmcc17miters-xits-iso-bobsmfpu.sanitized.cnf	-1	0.034698486328125	0.29
345	StConn_8_32.sanitized.cnf	-1	0.034488677978515625	402.93
346	lec_mult_CvD_11x11.sanitized.cnf	-1	0.039913177490234375	890.5
347	hcp_CP18_18.cnf	0	0.10848236083984375	2999.6
348	constraints_16_0.4_1.sanitized.cnf	-1	0.04734039306640625	129.77
349	ER_400_20_4.apx_1_DC-AD.cnf	-1	0.05432891845703125	476.83
350	constraints_18_0.3_2.sanitized.cnf	-1	0.10087203979492188	466.33
351	SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf	0	0.12335205078125	3000.87
352	6s130-opt.cnf	-1	0.0394287109375	117.82
353	constraints_17_0.4_1.sanitized.cnf	1	0.08922195434570312	24.07
354	hwmcc20miters-iso-mul7.sanitized.cnf	-1	0.18762588500976562	1.91
355	simon-r18-0.sanitized.cnf	1	0.003131866455078125	0.01
356	ER_400_20_7.apx_2_DC-AD.cnf	0	0.090728759765625	2999.89
357	mdp-32-11-unsat.cnf	0	0.0565032958984375	3000.91
